file,rule_id,name,taxonomy_level,genre,current_tier,proposed_tier,criterion,rationale,changed
action.json,action_pacing_relentless,Action Pacing Is Relentless,structure_pacing,action,high,medium,T2,"sig asks whether downtime is 'minimal' — a trend, with no threshold to test",True
action.json,action_hero_must_be_active,Hero Must Be Active,character,action,high,medium,T2,counting initiating actions is observable; 'as active as possible' is not,True
action.json,action_villain_strength,Villain Must Be Formidable,character,action,high,low,T3,"the criterion is 'formidable', a quality verdict, not a test",True
action.json,action_stakes_physical_death,Physical Death at Stake,plot_thread,action,high,high,T1,presence of a stakes mode is a bounded yes/no the sig can actually answer,False
action.json,action_escalation_constant,Action Escalates Constantly,plot_thread,action,high,medium,T2,'things go wrong constantly' is a whole-script trend judged by feel,True
action.json,action_hero_villain_flipside,Hero and Villain Are Flip Sides,character,action,high,medium,T2,shared traits are observable; whether the parallel means anything is a call,True
action.json,action_hero_underdog,Hero Must Be Underdog,character,action,high,medium,T2,"relative power is observable, but 'genuine challenge' is judged",True
action.json,action_set_pieces_varied,Action Set Pieces Must Be Varied,scene,action,high,medium,T2,"variety is countable, but 'enough variation' has no threshold",True
action.json,action_physical_consequences,Action Has Physical Consequences,character,action,high,medium,T2,shown/not-shown is observable; 'consistent with the style' is a call,True
action.json,action_villain_plan_clear,Villain's Plan Must Be Clear,plot_thread,action,high,medium,T2,clarity by the midpoint is a pattern; 'clear' has no operational test,True
action.json,action_hero_competence,Hero Must Demonstrate Competence,character,action,high,medium,T2,a competence beat is observable; 'early enough' is a judgment,True
body_language.json,body_language_limbic_leak,Limbic System Leakage,nonverbal,,high,medium,T2,"body-contradicts-words is a pattern you can point at, not a measurement",True
body_language.json,body_language_pacifying,Pacifying Behaviors,nonverbal,,high,medium,T2,the gestures are observable; inferring the anxiety motive is interpretive,True
body_language.json,body_language_feet_direction,Feet Reveal True Intent,nonverbal,,high,medium,T2,"an observable detail, but 'reveals true intent' is an inference",True
body_language.json,body_language_gravity_defying,Gravity-Defying Behaviors,nonverbal,,high,medium,T2,posture change is observable; attributing it to emotion is interpretive,True
body_language.json,body_language_ventral_exposure,Ventral Exposure Signals Trust,nonverbal,,high,medium,T2,observable blocking; the comfort/defensiveness reading is a judgment,True
body_language.json,body_language_territorial,Territorial Behavior,nonverbal,,medium,medium,T2,same class as its file-mates; the dominance reading is interpretive,False
