level_rank,taxonomy_level,band,band_rank,tier_rank,sev_rank,rule_id,name,category,file,confidence_tier,proposed_tier,severity_default,source_type,originator,genre,requires
0,story_macro,G,0,0,0,romance_theme_love,Theme Must Be Love-Related,theme,romance,high,medium,high,general_craft,K.M. Weiland,romance,knowledge_graph
0,story_macro,G,0,0,1,mystery_logline_clarity,Mystery Logline Must Be Clear,concept,mystery,high,medium,medium,attributed_principle,David Hohl,mystery,scene_text
0,story_macro,G,0,0,1,scifi_concept_simplicity,Keep Sci-Fi Concepts Simple,concept,scifi,high,medium,medium,attributed_principle,Scriptshadow/Amber,scifi,scene_text
0,story_macro,G,0,0,1,scifi_emotional_core,Sci-Fi Must Have Emotional Core,theme,scifi,high,low,medium,general_craft,,scifi,knowledge_graph
0,story_macro,G,0,0,1,scifi_relationship_to_technology,Sci-Fi Themes Explore Man vs Technology,theme,scifi,high,low,medium,general_craft,Randy Ingermanson,scifi,knowledge_graph
0,story_macro,G,0,0,1,scifi_simple_logline,Sci-Fi Logline Must Be Understandable,concept,scifi,high,medium,medium,attributed_principle,Scriptshadow/Amber,scifi,scene_text
0,story_macro,G,0,0,2,thriller_contained_premise,Contained Thriller Structure,concept,thriller,high,medium,low,attributed_principle,Scriptshadow/Amber,thriller,scene_summaries
0,story_macro,G,0,2,1,controlling_idea,Controlling Idea (Theme as Cause-and-Effect Statement),theme,story_macro,low,low,medium,framework,Robert McKee,,scene_summaries
0,story_macro,G,0,2,1,theme_contradiction,Theme Contradiction Without Earned Justification,theme,story_macro,low,low,medium,framework,Robert McKee,,scene_summaries
0,story_macro,S,1,0,0,drama_emotional_authenticity,Emotional Authenticity Over Plot Mechanics,tone,drama,high,low,high,general_craft,Robert McKee,drama,knowledge_graph
0,story_macro,S,1,0,0,horror_tone_set_immediately,First Page Sets Horror Tone,tone,horror,high,medium,high,attributed_principle,David Hohl,horror,scene_text
0,story_macro,S,1,0,0,mystery_clue_game,Riddle as Game Between Writer and Audience,structure,mystery,high,medium,high,framework,Ronald Tobias,mystery,scene_summaries
